,Año,Trimestre,Provincia,Accesos por cada 100 hogares
481,2017,3,Capital Federal,12186
482,2017,3,Catamarca,3249
483,2017,3,Chaco,2998
484,2017,3,Chubut,4622
485,2017,3,Córdoba,6231
486,2017,3,Corrientes,3217
487,2017,3,Entre Ríos,4596
488,2017,3,Formosa,2135
489,2017,3,Jujuy,2265
490,2017,3,La Pampa,6914
491,2017,3,La Rioja,5147
492,2017,3,Mendoza,357
493,2017,3,Misiones,3021
494,2017,3,Neuquén,6083
495,2017,3,Río Negro,4852
496,2017,3,Salta,3984
497,2017,3,San Juan,3237
498,2017,3,San Luis,1548
499,2017,3,Santa Cruz,3329
500,2017,3,Santa Fe,6091
501,2017,3,Santiago Del Estero,3512
502,2017,3,Tierra Del Fuego,6574
503,2017,3,Tucumán,397
504,2017,2,Buenos Aires,5627
505,2017,2,Capital Federal,12406
506,2017,2,Catamarca,2598
507,2017,2,Chaco,2905
508,2017,2,Chubut,3555
509,2017,2,Córdoba,5897
510,2017,2,Corrientes,3139
511,2017,2,Entre Ríos,4539
512,2017,2,Formosa,1997
513,2017,2,Jujuy,224
514,2017,2,La Pampa,6349
515,2017,2,La Rioja,162
516,2017,2,Mendoza,3176
517,2017,2,Misiones,3009
518,2017,2,Neuquén,6191
519,2017,2,Río Negro,4602
520,2017,2,Salta,3274
521,2017,2,San Juan,2696
522,2017,2,San Luis,951
523,2017,2,Santa Cruz,2625
524,2017,2,Santa Fe,5227
525,2017,2,Santiago Del Estero,1412
526,2017,2,Tierra Del Fuego,6846
527,2017,2,Tucumán,3819
528,2017,1,Buenos Aires,5857
529,2017,1,Capital Federal,10837
530,2017,1,Catamarca,2566
531,2017,1,Chaco,2862
532,2017,1,Chubut,3566
533,2017,1,Córdoba,5765
534,2017,1,Corrientes,3094
535,2017,1,Entre Ríos,4491
536,2017,1,Formosa,1984
537,2017,1,Jujuy,2276
538,2017,1,La Pampa,6267
539,2017,1,La Rioja,162
540,2017,1,Mendoza,3184
541,2017,1,Misiones,2952
542,2017,1,Neuquén,6102
543,2017,1,Río Negro,4603
544,2017,1,Salta,3258
545,2017,1,San Juan,2704
546,2017,1,San Luis,955
547,2017,1,Santa Cruz,2652
548,2017,1,Santa Fe,5197
549,2017,1,Santiago Del Estero,147
550,2017,1,Tierra Del Fuego,6892
551,2017,1,Tucumán,379
552,2016,4,Buenos Aires,6124
553,2016,4,Capital Federal,12063
554,2016,4,Catamarca,2654
555,2016,4,Chaco,2879
556,2016,4,Chubut,3607
557,2016,4,Córdoba,577
558,2016,4,Corrientes,3098
559,2016,4,Entre Ríos,4521
560,2016,4,Formosa,1985
561,2016,4,Jujuy,2265
562,2016,4,La Pampa,6302
563,2016,4,La Rioja,1646
564,2016,4,Mendoza,3211
565,2016,4,Misiones,2972
566,2016,4,Neuquén,6087
567,2016,4,Río Negro,4639
568,2016,4,Salta,3269
569,2016,4,San Juan,2729
570,2016,4,San Luis,964
571,2016,4,Santa Cruz,2705
572,2016,4,Santa Fe,5219
573,2016,4,Santiago Del Estero,1507
574,2016,4,Tierra Del Fuego,7031
575,2016,4,Tucumán,3798
576,2016,3,Buenos Aires,6014
577,2016,3,Capital Federal,12077
578,2016,3,Catamarca,2648
579,2016,3,Chaco,2891
580,2016,3,Chubut,3618
581,2016,3,Córdoba,5824
582,2016,3,Corrientes,3107
583,2016,3,Entre Ríos,4544
584,2016,3,Formosa,1864
585,2016,3,Jujuy,2261
586,2016,3,La Pampa,6173
587,2016,3,La Rioja,1707
588,2016,3,Mendoza,3209
589,2016,3,Misiones,2991
590,2016,3,Neuquén,6021
591,2016,3,Río Negro,4639
592,2016,3,Salta,3296
593,2016,3,San Juan,2732
594,2016,3,San Luis,963
595,2016,3,Santa Cruz,2684
596,2016,3,Santa Fe,5267
597,2016,3,Santiago Del Estero,1533
598,2016,3,Tierra Del Fuego,6894
599,2016,3,Tucumán,379
600,2016,2,Buenos Aires,5934
601,2016,2,Capital Federal,12004
602,2016,2,Catamarca,2607
603,2016,2,Chaco,2859
604,2016,2,Chubut,3612
605,2016,2,Córdoba,5755
606,2016,2,Corrientes,3058
607,2016,2,Entre Ríos,4474
608,2016,2,Formosa,1937
609,2016,2,Jujuy,2189
610,2016,2,La Pampa,6044
611,2016,2,La Rioja,1688
612,2016,2,Mendoza,3213
613,2016,2,Misiones,2924
614,2016,2,Neuquén,591
615,2016,2,Río Negro,4624
616,2016,2,Salta,3208
617,2016,2,San Juan,2734
618,2016,2,San Luis,96
619,2016,2,Santa Cruz,2673
620,2016,2,Santa Fe,5244
621,2016,2,Santiago Del Estero,1589
622,2016,2,Tierra Del Fuego,6772
623,2016,2,Tucumán,3724
624,2016,1,Buenos Aires,5734
625,2016,1,Capital Federal,11516
626,2016,1,Catamarca,2591
627,2016,1,Chaco,2808
628,2016,1,Chubut,3609
629,2016,1,Córdoba,5528
630,2016,1,Corrientes,3008
631,2016,1,Entre Ríos,4385
632,2016,1,Formosa,1904
633,2016,1,Jujuy,2141
634,2016,1,La Pampa,5784
635,2016,1,La Rioja,1683
636,2016,1,Mendoza,3212
637,2016,1,Misiones,2837
638,2016,1,Neuquén,5575
639,2016,1,Río Negro,4584
640,2016,1,Salta,3132
641,2016,1,San Juan,2733
642,2016,1,San Luis,959
643,2016,1,Santa Cruz,2687
644,2016,1,Santa Fe,5128
645,2016,1,Santiago Del Estero,1621
646,2016,1,Tierra Del Fuego,6583
647,2016,1,Tucumán,3672
