,Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total
184,2020,4,Salta,56659.0,87817.0,30604.0,5858,6452,187390.0
185,2020,4,San Juan,40072.0,7004.0,6599.0,10468,8453,72596.0
186,2020,4,San Luis,8417.0,11767.0,27.0,63019,36205,119435.0
187,2020,4,Santa Cruz,12347.0,19657.0,1041.0,4659,297,40674.0
188,2020,4,Santa Fe,287271.0,414746.0,62692.0,38712,17392,820813.0
189,2020,4,Santiago Del Estero,26812.0,70522.0,570.0,5169,3596,106669.0
190,2020,4,Tierra Del Fuego,12853.0,26439.0,6.0,0,3160,39614.0
191,2020,4,Tucumán,149322.0,11150.0,68043.0,1834,7400,231089.0
192,2020,3,Buenos Aires,653930.0,2384557.0,749087.0,94162,55541,3937277.0
193,2020,3,Capital Federal,170375.0,1129573.0,39417.0,3936,29374,1372675.0
194,2020,3,Catamarca,26868.0,3690.0,16857.0,2610,2228,49904.0
195,2020,3,Chaco,45745.0,58825.0,20675.0,6706,2003,133954.0
196,2020,3,Chubut,45761.0,39386.0,2897.0,23216,18767,130027.0
197,2020,3,Córdoba,276360.0,430771.0,102217.0,48368,9756,867472.0
198,2020,3,Corrientes,50858.0,58681.0,2960.0,5513,5379,123391.0
199,2020,3,Entre Ríos,87892.0,106950.0,13954.0,20379,1232,241495.0
200,2020,3,Formosa,21790.0,10003.0,2000.0,15023,3930,49209.0
201,2020,3,Jujuy,32611.0,57682.0,11112.0,9520,4371,106728.0
202,2020,3,La Pampa,9015.0,56845.0,14677.0,11893,1305,93735.0
203,2020,3,La Rioja,17346.0,34984.0,1.0,2500,350,52616.0
204,2020,3,Mendoza,91908.0,64672.0,32817.0,17523,8680,207788.0
205,2020,3,Misiones,50195.0,77989.0,2572.0,3445,8985,143186.0
206,2020,3,Neuquén,30222.0,70446.0,11043.0,16787,7370,129235.0
207,2020,3,Río Negro,49530.0,40001.0,10381.0,13187,18368,131467.0
208,2020,3,Salta,58216.0,84128.0,25445.0,5764,7293,180846.0
209,2020,3,San Juan,40092.0,9223.0,5509.0,14023,848,77327.0
210,2020,3,San Luis,8401.0,10077.0,6.0,61828,36253,116565.0
211,2020,3,Santa Cruz,12845.0,16098.0,1027.0,6938,2373,39281.0
212,2020,3,Santa Fe,295051.0,405807.0,45721.0,37112,19307,802998.0
213,2020,3,Santiago Del Estero,26419.0,70720.0,555.0,4185,3613,105492.0
214,2020,3,Tierra Del Fuego,12854.0,26491.0,0.0,0,3100,39655.0
215,2020,3,Tucumán,149605.0,11752.0,59949.0,1808,7620,223876.0
216,2020,2,Buenos Aires,661272.0,2244277.0,723072.0,91736,57189,3777546.0
217,2020,2,Capital Federal,178896.0,1106133.0,39482.0,3937,29373,1357821.0
218,2020,2,Catamarca,26968.0,3641.0,14878.0,2610,2228,47976.0
219,2020,2,Chaco,46816.0,56017.0,17266.0,6452,1581,128132.0
220,2020,2,Chubut,45761.0,38279.0,1324.0,17678,5614,108656.0
221,2020,2,Córdoba,282858.0,415007.0,85818.0,44522,8263,836468.0
222,2020,2,Corrientes,51248.0,55536.0,3144.0,3927,5011,118866.0
223,2020,2,Entre Ríos,89391.0,99423.0,13954.0,20042,11303,234113.0
224,2020,2,Formosa,21805.0,9353.0,1882.0,14723,1690,47932.0
225,2020,2,Jujuy,32705.0,38938.0,5057.0,9520,16664,94316.0
226,2020,2,La Pampa,8551.0,54422.0,14232.0,11314,129,89809.0
227,2020,2,La Rioja,16885.0,34984.0,1.0,2500,350,52155.0
228,2020,2,Mendoza,91904.0,62941.0,29613.0,15924,8020,201184.0
229,2020,2,Misiones,50792.0,74497.0,2579.0,3319,9153,140340.0
230,2020,2,Neuquén,30256.0,67990.0,11037.0,15755,1134,126172.0
231,2020,2,Río Negro,49756.0,39650.0,10382.0,11331,18367,129486.0
232,2020,2,Salta,59502.0,81740.0,24289.0,5123,7108,177762.0
233,2020,2,San Juan,40092.0,8275.0,5509.0,7019,8882,69777.0
234,2020,2,San Luis,8401.0,8357.0,6.0,60935,36253,113952.0
235,2020,2,Santa Cruz,12845.0,16044.0,1027.0,6585,2368,38869.0
236,2020,2,Santa Fe,299974.0,381679.0,46698.0,30487,19094,777932.0
237,2020,2,Santiago Del Estero,25917.0,72074.0,355.0,3038,4063,105447.0
238,2020,2,Tierra Del Fuego,12854.0,26025.0,0.0,0,3100,39189.0
239,2020,2,Tucumán,150084.0,9833.0,55120.0,1357,7620,217156.0
240,2020,1,Buenos Aires,673237.0,2210349.0,720688.0,85443,18334,3708051.0
241,2020,1,Capital Federal,184494.0,1097635.0,38898.0,3911,28556,1353494.0
242,2020,1,Catamarca,21945.0,3146.0,12056.0,2610,2227,39635.0
243,2020,1,Chaco,46356.0,54144.0,11958.0,6239,158,120277.0
244,2020,1,Chubut,45763.0,27287.0,1324.0,16885,5479,96738.0
245,2020,1,Córdoba,286168.0,406109.0,68512.0,41617,8693,811099.0
246,2020,1,Corrientes,51126.0,53231.0,2172.0,2437,5004,113970.0
247,2020,1,Entre Ríos,90368.0,95434.0,13245.0,18737,14062,231846.0
248,2020,1,Formosa,21068.0,8887.0,1800.0,1451,1690,46434.0
249,2020,1,Jujuy,32066.0,38938.0,3078.0,9420,16641,91665.0
250,2020,1,La Pampa,8553.0,53755.0,13821.0,11295,1802,89226.0
251,2020,1,La Rioja,13076.0,34984.0,0.0,2510,290,48340.0
252,2020,1,Mendoza,91955.0,50251.0,28059.0,12465,7220,183452.0
253,2020,1,Misiones,51458.0,69452.0,1220.0,4600,10962,133552.0
254,2020,1,Neuquén,29305.0,65951.0,11031.0,14711,7290,121727.0
255,2020,1,Río Negro,47756.0,38479.0,10381.0,11222,18362,126200.0
256,2020,1,Salta,60426.0,75593.0,23025.0,4125,7212,170381.0
257,2020,1,San Juan,40092.0,6448.0,5508.0,7082,5101,64231.0
258,2020,1,San Luis,8301.0,7612.0,5.0,58301,36333,110552.0
259,2020,1,Santa Cruz,12845.0,15766.0,1026.0,6817,2368,38822.0
260,2020,1,Santa Fe,302366.0,383673.0,35123.0,30488,19468,771118.0
261,2020,1,Santiago Del Estero,24695.0,70424.0,200.0,2779,4657,102755.0
262,2020,1,Tierra Del Fuego,12854.0,25632.0,0.0,0,3080,38794.0
263,2020,1,Tucumán,143184.0,10494.0,44687.0,1355,3470,200067.0
264,2019,4,Buenos Aires,720011.0,2191672.0,669194.0,87111,18266,3686254.0
265,2019,4,Capital Federal,196938.0,1093143.0,35534.0,3914,28576,1358105.0
266,2019,4,Catamarca,22999.0,3318.0,9506.0,2610,2227,38311.0
267,2019,4,Chaco,48661.0,53602.0,8831.0,5229,158,117903.0
268,2019,4,Chubut,47045.0,26977.0,1324.0,15267,5489,96102.0
269,2019,4,Córdoba,296872.0,410038.0,53335.0,3775,8693,806688.0
270,2019,4,Corrientes,52525.0,51845.0,2002.0,2458,5004,113834.0
271,2019,4,Entre Ríos,92981.0,99206.0,12875.0,18561,15407,239030.0
272,2019,4,Formosa,21567.0,8684.0,1760.0,14531,1690,46711.0
273,2019,4,Jujuy,32949.0,37604.0,873.0,8140,16641,88881.0
274,2019,4,La Pampa,15457.0,56854.0,4942.0,11341,1805,90399.0
275,2019,4,La Rioja,13738.0,34984.0,0.0,2510,290,49002.0
276,2019,4,Mendoza,96678.0,49711.0,24989.0,13672,7300,185780.0
277,2019,4,Misiones,53116.0,69676.0,847.0,4410,11733,135813.0
278,2019,4,Neuquén,29826.0,60970.0,10549.0,14246,8540,116445.0
279,2019,4,Río Negro,49747.0,37933.0,9658.0,11437,18365,127140.0
280,2019,4,Salta,63272.0,76062.0,21865.0,304,8206,172445.0
281,2019,4,San Juan,41360.0,6338.0,4931.0,7241,5104,64974.0
282,2019,4,San Luis,8569.0,8027.0,6.0,55266,36333,108201.0
283,2019,4,Santa Cruz,13264.0,15899.0,1036.0,68,2371,39370.0
284,2019,4,Santa Fe,312072.0,382254.0,27464.0,26978,20401,769169.0
285,2019,4,Santiago Del Estero,24682.0,71239.0,200.0,281,4657,103588.0
286,2019,4,Tierra Del Fuego,13261.0,26821.0,0.0,0,3100,40392.0
287,2019,4,Tucumán,146985.0,11012.0,39574.0,7250,3480,198644.0
288,2019,3,Buenos Aires,1277249.0,2144956.0,425386.0,85572,2707,3960233.0
289,2019,3,Capital Federal,300288.0,1080973.0,24900.0,3895,31155,1441211.0
