Año,Trimestre,Provincia,Accesos telefonía fija por cada 100 hab,Accesos telefonía fija por cada 100 hogares,Accesos telefonía fija (total),Accesos telefonía fija (hogares),Accesos telefonía fija (comercial),Accesos telefonía fija (gobierno),Accesos telefonía fija (otros),Accesos TV por suscripción por cada 100 hab,Accesos TV por suscripción por cada 100 hogares,Accesos TV por suscripción
2015,3,Buenos Aires,28.24,89.06,4713132,3922463,513849,16521,260299,1504,4936,2505777
2015,3,Capital Federal,53.27,126.17,1627395,1354386,177427,5704,89878,2344,6171,715814
2015,3,Catamarca,9.87,38.81,39243,3266,4278,138,2167,733,2883,29089
2015,3,Chaco,9.36,35.02,107211,89225,11689,376,5921,811,3037,92709
2015,3,Chubut,19.36,63.15,110101,9163,12004,386,6081,1214,3966,6882
2015,3,Córdoba,20.36,66.5,727761,605673,79344,2551,40193,2764,9037,986247
2015,3,Corrientes,10.34,39.25,110808,92219,12081,388,612,863,3280,92364
2015,3,Entre Ríos,17.77,59.44,235242,195778,25647,825,12992,1163,3891,153615
2015,3,Formosa,7.21,28.31,41803,34789,4558,147,2309,801,3150,46414
2015,3,Jujuy,7.79,30.45,56787,47261,6191,199,3136,1179,4613,85777
2015,3,La Pampa,22.89,69.47,78651,65456,8575,276,4344,251,7623,86107
2015,3,La Rioja,10.49,39.39,38651,32167,4214,135,2135,701,2636,25779
2015,3,Mendoza,18.97,67.97,358373,298253,39072,1256,19792,623,2235,117481
2015,3,Misiones,9.5,34.87,113211,94219,12343,397,6252,996,3662,118527
2015,3,Neuquén,15.9,53.41,98784,82212,1077,346,5456,1796,6040,111307
2015,3,Río Negro,19.11,62.12,133855,111399,14594,469,7393,817,2660,57112
2015,3,Salta,10.56,43.59,141105,117433,15384,495,7793,1277,5279,17031
2015,3,San Juan,13.95,54.77,103306,85976,11263,362,5705,59,2317,43576
2015,3,San Luis,11.12,38.84,53069,44166,5786,186,2931,1149,4019,54728
2015,3,Santa Cruz,18.64,62.62,60005,49939,6542,210,3314,1715,5776,54965
2015,3,Santa Fe,22.54,71.68,766859,638212,83607,2688,42352,1806,5746,613455
2015,3,Santiago del Estero,7.44,29.97,69165,57562,7541,242,382,1073,4328,99599
2015,3,Tierra del Fuego,22.97,77.47,35152,29256,3832,123,1941,2433,8222,37053
2015,3,Tucumán,13.37,53.98,213481,177668,23275,748,1179,77,3112,12268
2015,4,Buenos Aires,28.17,88.65,4713888,3960199,474122,16615,262952,1504,4934,2504956
2015,4,Capital Federal,51.45,121.24,1572421,1321012,158154,5542,87713,2347,6180,716866
2015,4,Catamarca,9.85,38.74,39268,3299,395,138,219,74,2910,29356
